About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Choose food items whose original Auto-Buy switch should be enabled.|Piliin ang mga pagkain na dapat naka-enable ang original Auto-Buy switch.|Pilih makanan yang sakelar Auto-Buy aslinya akan diaktifkan.|Chọn thức ăn cần bật công tắc Auto-Buy gốc.|เลือกอาหารที่จะเปิดสวิตช์ Auto-Buy เดิม|Elige los alimentos cuyo Auto-Buy original debe activarse.|Escolha os alimentos cujo Auto-Buy original deve ser ativado.|Choisissez les nourritures dont l’Auto-Buy d’origine doit être activé.|Wähle Futter, dessen ursprünglicher Auto-Buy-Schalter aktiviert werden soll.|Выберите еду, для которой нужно включить штатный Auto-Buy.
Choose foods to use. If one is empty, Auto Feed switches to another selected food.|Piliin ang mga pagkain. Kapag naubos ang isa, lilipat ang Auto Feed sa ibang napili.|Pilih makanan yang digunakan. Jika satu habis, Auto Feed beralih ke makanan terpilih lain.|Chọn thức ăn sử dụng. Nếu một loại hết, Auto Feed chuyển sang loại khác đã chọn.|เลือกอาหารที่จะใช้ หากชนิดหนึ่งหมด Auto Feed จะสลับไปอาหารที่เลือกชนิดอื่น|Elige los alimentos a usar. Si uno se agota, Auto Feed cambia a otro seleccionado.|Escolha os alimentos. Se um acabar, o Auto Feed muda para outro selecionado.|Choisissez les nourritures à utiliser. Si l’une est épuisée, Auto Feed passe à une autre sélectionnée.|Wähle das Futter. Ist eines leer, wechselt Auto Feed zu einem anderen ausgewählten Futter.|Выберите еду. Если одна закончится, Auto Feed переключится на другую выбранную.
Choose gears whose original Auto-Buy switch should be enabled.|Piliin ang gears na dapat naka-enable ang original Auto-Buy switch.|Pilih gear yang sakelar Auto-Buy aslinya akan diaktifkan.|Chọn trang bị cần bật công tắc Auto-Buy gốc.|เลือกอุปกรณ์ที่จะเปิดสวิตช์ Auto-Buy เดิม|Elige los equipos cuyo Auto-Buy original debe activarse.|Escolha os equipamentos cujo Auto-Buy original deve ser ativado.|Choisissez les équipements dont l’Auto-Buy d’origine doit être activé.|Wähle Ausrüstung, deren ursprünglicher Auto-Buy-Schalter aktiviert werden soll.|Выберите снаряжение, для которого нужно включить штатный Auto-Buy.
Choose which carried eggs are allowed.|Piliin kung aling dala mong itlog ang puwedeng gamitin.|Pilih telur bawaan yang diizinkan.|Chọn trứng đang mang được phép dùng.|เลือกไข่ที่ถืออยู่ซึ่งอนุญาต|Elige qué huevos llevados están permitidos.|Escolha quais ovos carregados são permitidos.|Choisissez les œufs transportés autorisés.|Wähle erlaubte getragene Eier.|Выберите разрешённые яйца в инвентаре.
Choose which rarities notify you. Empty means all rarities.|Piliin kung aling rarity ang magno-notify. Kapag walang pinili, lahat.|Pilih kelangkaan untuk notifikasi. Kosong berarti semua.|Chọn độ hiếm để nhận thông báo. Để trống nghĩa là tất cả.|เลือกระดับความหายากสำหรับการแจ้งเตือน เว้นว่าง = ทั้งหมด|Elige las rarezas que te notificarán. Vacío significa todas.|Escolha as raridades para notificação. Vazio significa todas.|Choisissez les raretés à notifier. Vide signifie toutes.|Wähle Seltenheiten für Benachrichtigungen. Leer bedeutet alle.|Выберите редкости для уведомлений. Пусто — все.
Choose which stolen egg types notify you. Empty means all eggs.|Piliin kung aling nakaw na egg type ang magno-notify. Kapag walang pinili, lahat.|Pilih jenis telur curian untuk notifikasi. Kosong berarti semua telur.|Chọn loại trứng trộm để nhận thông báo. Để trống nghĩa là tất cả.|เลือกชนิดไข่ที่ขโมยแล้วให้แจ้งเตือน เว้นว่าง = ทุกไข่|Elige qué tipos de huevos robados notifican. Vacío significa todos.|Escolha quais tipos de ovos roubados notificam. Vazio significa todos.|Choisissez les types d’œufs volés à notifier. Vide signifie tous.|Wähle gestohlene Eitypen für Benachrichtigungen. Leer bedeutet alle.|Выберите типы украденных яиц для уведомлений. Пусто — все.
Client-side performance options. All changes are reversible.|Mga client-side performance option. Lahat ng pagbabago ay puwedeng ibalik.|Opsi performa sisi klien. Semua perubahan dapat dipulihkan.|Tùy chọn hiệu năng phía client. Mọi thay đổi đều có thể hoàn tác.|ตัวเลือกประสิทธิภาพฝั่งไคลเอนต์ ย้อนกลับได้ทั้งหมด|Opciones de rendimiento del cliente. Todos los cambios son reversibles.|Opções de desempenho do cliente. Todas as alterações são reversíveis.|Options de performance côté client. Tous les changements sont réversibles.|Clientseitige Leistungsoptionen. Alle Änderungen sind rückgängig machbar.|Клиентские настройки производительности. Все изменения обратимы.
Current weather|Kasalukuyang panahon|Cuaca saat ini|Thời tiết hiện tại|สภาพอากาศปัจจุบัน|Clima actual|Clima atual|Météo actuelle|Aktuelles Wetter|Текущая погода
Detect Current Weather|Tukuyin ang Kasalukuyang Panahon|Deteksi Cuaca Saat Ini|Phát hiện thời tiết hiện tại|ตรวจจับสภาพอากาศปัจจุบัน|Detectar clima actual|Detectar clima atual|Détecter la météo actuelle|Aktuelles Wetter erkennen|Определить текущую погоду
Direct feeding with automatic food equip and fast server-confirmed spacing.|Direktang pagpapakain na may auto-equip ng pagkain at mabilis na pagitan na kinukumpirma ng server.|Pemberian makan langsung dengan equip makanan otomatis dan jeda cepat yang dikonfirmasi server.|Cho ăn trực tiếp với tự trang bị thức ăn và khoảng cách nhanh được máy chủ xác nhận.|ให้อาหารโดยตรง พร้อมสวมอาหารอัตโนมัติและช่วงเวลารวดเร็วที่เซิร์ฟเวอร์ยืนยัน|Alimentación directa con equipamiento automático y pausas rápidas confirmadas por el servidor.|Alimentação direta com equip automático e intervalos rápidos confirmados pelo servidor.|Alimentation directe avec équipement auto et intervalles rapides confirmés par le serveur.|Direktes Füttern mit automatischem Ausrüsten und schnellen serverbestätigten Abständen.|Прямое кормление с автоэкипировкой еды и быстрыми интервалами, подтверждёнными сервером.
Direct placement anywhere inside your own garden with dynamic full detection.|Direktang pag-place kahit saan sa sarili mong garden na may dynamic full detection.|Penempatan langsung di mana saja dalam kebun sendiri dengan deteksi penuh dinamis.|Đặt trực tiếp ở bất kỳ đâu trong vườn của bạn với phát hiện đầy động.|วางโดยตรงได้ทุกที่ในสวนของคุณ พร้อมตรวจจับเต็มแบบไดนามิก|Colocación directa en cualquier parte de tu jardín con detección dinámica de lleno.|Colocação direta em qualquer lugar do seu jardim com detecção dinâmica de lotação.|Placement direct partout dans votre jardin avec détection dynamique de capacité pleine.|Direkte Platzierung überall im eigenen Garten mit dynamischer Voll-Erkennung.|Прямое размещение в любом месте своего сада с динамическим определением заполнения.
Disable particles, trails, beams, shadows, post-processing and expensive terrain effects.|I-disable ang particles, trails, beams, shadows, post-processing at mabibigat na terrain effects.|Nonaktifkan partikel, trail, beam, bayangan, pascaproses, dan efek terrain berat.|Tắt hạt, vệt, tia, bóng, hậu xử lý và hiệu ứng địa hình nặng.|ปิดอนุภาค เทรล ลำแสง เงา โพสต์โปรเซส และเอฟเฟกต์ภูมิประเทศที่หนัก|Desactiva partículas, estelas, haces, sombras, posprocesado y efectos de terreno costosos.|Desativa partículas, rastros, feixes, sombras, pós-processamento e efeitos de terreno pesados.|Désactive particules, traînées, faisceaux, ombres, post-traitement et effets de terrain coûteux.|Deaktiviert Partikel, Trails, Strahlen, Schatten, Nachbearbeitung und aufwendige Terrain-Effekte.|Отключает частицы, следы, лучи, тени, постобработку и тяжёлые эффекты ландшафта.
Discord Webhook URL|Discord Webhook URL|URL Webhook Discord|URL webhook Discord|URL เว็บฮุก Discord|URL del webhook de Discord|URL do webhook do Discord|URL du webhook Discord|Discord-Webhook-URL|URL вебхука Discord
Discord notifications for confirmed Ride A Pet events.|Discord notifications para sa kumpirmadong Ride A Pet events.|Notifikasi Discord untuk event Ride A Pet yang terkonfirmasi.|Thông báo Discord cho sự kiện Ride A Pet đã xác nhận.|การแจ้งเตือน Discord สำหรับเหตุการณ์ Ride A Pet ที่ยืนยันแล้ว|Notificaciones de Discord para eventos confirmados de Ride A Pet.|Notificações do Discord para eventos confirmados de Ride A Pet.|Notifications Discord pour les événements Ride A Pet confirmés.|Discord-Benachrichtigungen für bestätigte Ride-A-Pet-Ereignisse.|Уведомления Discord о подтверждённых событиях Ride A Pet.
Displayed as Pet Name (Age X). Used when Feed Targets is Selected Pets.|Ipinapakita bilang Pet Name (Age X). Ginagamit kapag Selected Pets ang Feed Targets.|Ditampilkan sebagai Nama Pet (Usia X). Dipakai saat Feed Targets adalah Selected Pets.|Hiển thị dạng Tên thú cưng (Tuổi X). Dùng khi Feed Targets là Selected Pets.|แสดงเป็นชื่อสัตว์เลี้ยง (อายุ X) ใช้เมื่อ Feed Targets เป็น Selected Pets|Se muestra como Nombre de mascota (Edad X). Se usa cuando Feed Targets es Selected Pets.|Exibido como Nome do pet (Idade X). Usado quando Feed Targets é Selected Pets.|Affiché comme Nom de l’animal (Âge X). Utilisé lorsque Feed Targets est Selected Pets.|Anzeige als Begleitername (Alter X). Wird verwendet, wenn Feed Targets auf Selected Pets steht.|Отображается как Имя питомца (Возраст X). Используется, когда Feed Targets = Selected Pets.
ESP|ESP|ESP|ESP|ESP|ESP|ESP|ESP|ESP|ESP
ESP Minimum Egg Luck|Minimum Egg Luck ng ESP|Egg Luck Minimum ESP|Egg Luck tối thiểu cho ESP|Egg Luck ขั้นต่ำของ ESP|Egg Luck mínimo del ESP|Egg Luck mínimo do ESP|Egg Luck minimum de l’ESP|Minimales Egg Luck für ESP|Минимальный Egg Luck для ESP
Egg ESP|Egg ESP|ESP Telur|ESP trứng|ESP ไข่|ESP de huevos|ESP de ovos|ESP des œufs|Ei-ESP|ESP яиц
Egg Information|Impormasyon ng Itlog|Informasi Telur|Thông tin trứng|ข้อมูลไข่|Información del huevo|Informações do ovo|Informations sur l’œuf|Ei-Informationen|Информация о яйце
Egg and player visual overlays.|Visual overlay para sa itlog at player.|Overlay visual telur dan pemain.|Lớp hiển thị cho trứng và người chơi.|โอเวอร์เลย์ภาพสำหรับไข่และผู้เล่น|Superposiciones visuales de huevos y jugadores.|Sobreposições visuais de ovos e jogadores.|Superpositions visuelles pour œufs et joueurs.|Visuelle Overlays für Eier und Spieler.|Визуальные оверлеи для яиц и игроков.
Egg rarity, Luck and spawn data are available before hatch. The exact pet result is revealed by the server only when the egg hatches.|Makikita ang rarity, Luck at spawn data bago mag-hatch. Ipinapakita lang ng server ang eksaktong pet kapag nag-hatch na ang itlog.|Data kelangkaan, Luck, dan spawn telur tersedia sebelum menetas. Hasil pet pasti hanya diberikan server saat telur menetas.|Độ hiếm, Luck và dữ liệu spawn của trứng có trước khi nở. Pet chính xác chỉ được máy chủ tiết lộ khi trứng nở.|ข้อมูลความหายาก Luck และการเกิดของไข่ดูได้ก่อนฟัก ผลสัตว์เลี้ยงจริงจะถูกเซิร์ฟเวอร์เผยตอนฟักเท่านั้น|La rareza, Luck y datos de aparición del huevo están disponibles antes de eclosionar. El servidor revela la mascota exacta solo al eclosionar.|A raridade, Luck e dados de spawn do ovo aparecem antes de chocar. O servidor revela o pet exato apenas quando o ovo choca.|La rareté, le Luck et les données d’apparition de l’œuf sont disponibles avant l’éclosion. Le serveur révèle l’animal exact seulement à l’éclosion.|Seltenheit, Luck und Spawn-Daten des Eis sind vor dem Schlüpfen verfügbar. Das genaue Tier zeigt der Server erst beim Schlüpfen.|Редкость, Luck и данные спавна яйца доступны до вылупления. Точный питомец раскрывается сервером только при вылуплении.
Eggs|Mga Itlog|Telur|Trứng|ไข่|Huevos|Ovos|Œufs|Eier|Яйца
Eligible exact egg names for placement.|Eksaktong pangalan ng itlog na puwedeng i-place.|Nama telur tepat yang boleh ditempatkan.|Tên trứng chính xác được phép đặt.|ชื่อไข่ที่อนุญาตให้วาง|Nombres exactos de huevos aptos para colocar.|Nomes exatos de ovos permitidos para colocar.|Noms exacts des œufs autorisés au placement.|Exakte Eiernamen, die platziert werden dürfen.|Точные названия яиц, разрешённых для размещения.
Eligible rarities for placement.|Mga rarity na puwedeng i-place.|Kelangkaan yang boleh ditempatkan.|Độ hiếm được phép đặt.|ระดับความหายากที่อนุญาตให้วาง|Rarezas aptas para colocar.|Raridades permitidas para colocar.|Raretés autorisées au placement.|Zulässige Seltenheiten für die Platzierung.|Редкости, разрешённые для размещения.
Enable Food Auto-Buy|I-enable ang Food Auto-Buy|Aktifkan Beli Otomatis Makanan|Bật tự mua thức ăn|เปิดซื้ออาหารอัตโนมัติ|Activar compra automática de comida|Ativar compra automática de comida|Activer l’achat auto de nourriture|Auto-Kauf für Futter aktivieren|Включить автопокупку еды
Enable Gear Auto-Buy|I-enable ang Gear Auto-Buy|Aktifkan Beli Otomatis Gear|Bật tự mua trang bị|เปิดซื้ออุปกรณ์อัตโนมัติ|Activar compra automática de equipo|Ativar compra automática de equipamentos|Activer l’achat auto d’équipement|Auto-Kauf für Ausrüstung aktivieren|Включить автопокупку снаряжения
Enable native Auto-Buy for selected gears.|I-enable ang native Auto-Buy para sa napiling gear.|Aktifkan Auto-Buy bawaan untuk gear terpilih.|Bật Auto-Buy gốc cho trang bị đã chọn.|เปิด Auto-Buy เดิมสำหรับอุปกรณ์ที่เลือก|Activa el Auto-Buy nativo para los equipos seleccionados.|Ativa o Auto-Buy nativo para os equipamentos selecionados.|Active l’Auto-Buy natif pour les équipements sélectionnés.|Aktiviert den nativen Auto-Buy für ausgewählte Ausrüstung.|Включает штатный Auto-Buy для выбранного снаряжения.
Enable native Auto-Buy for the selected food.|I-enable ang native Auto-Buy para sa napiling pagkain.|Aktifkan Auto-Buy bawaan untuk makanan terpilih.|Bật Auto-Buy gốc cho thức ăn đã chọn.|เปิด Auto-Buy เดิมสำหรับอาหารที่เลือก|Activa el Auto-Buy nativo para la comida seleccionada.|Ativa o Auto-Buy nativo para a comida selecionada.|Active l’Auto-Buy natif pour la nourriture sélectionnée.|Aktiviert den nativen Auto-Buy für das ausgewählte Futter.|Включает штатный Auto-Buy для выбранной еды.
Equip Best Now|I-equip ang Best Ngayon|Pakai Terbaik Sekarang|Trang bị tốt nhất ngay|สวมใส่ดีที่สุดตอนนี้|Equipar lo mejor ahora|Equipar o melhor agora|Équiper le meilleur maintenant|Bestes jetzt ausrüsten|Экипировать лучшее сейчас
Ex. 50k or 50000|Hal. 50k o 50000|Contoh 50k atau 50000|VD: 50k hoặc 50000|เช่น 50k หรือ 50000|Ej. 50k o 50000|Ex. 50k ou 50000|Ex. 50k ou 50000|Z. B. 50k oder 50000|Напр. 50k или 50000
Ex. 50k or 50000 K.G|Hal. 50k o 50000 K.G|Contoh 50k atau 50000 K.G|VD: 50k hoặc 50000 K.G|เช่น 50k หรือ 50000 K.G|Ej. 50k o 50000 K.G|Ex. 50k ou 50000 K.G|Ex. 50k ou 50000 K.G|Z. B. 50k oder 50000 K.G|Напр. 50k или 50000 K.G
Example: 50k means pets earning $50K/s or less may be sold. Pets above $50K/s are protected. 50k and 50000 are both accepted. Use 0 to disable the filter.|Halimbawa: 50k = puwedeng ibenta ang pets na $50K/s o mas mababa. Protektado ang mas mataas. Tinatanggap ang 50k at 50000. Gamitin ang 0 para i-disable.|Contoh: 50k berarti pet dengan $50K/s atau kurang boleh dijual. Di atasnya dilindungi. 50k dan 50000 sama-sama diterima. Gunakan 0 untuk menonaktifkan filter.|Ví dụ: 50k nghĩa là pet kiếm $50K/s trở xuống có thể bán. Cao hơn được bảo vệ. 50k và 50000 đều hợp lệ. Dùng 0 để tắt bộ lọc.|ตัวอย่าง: 50k หมายถึงขายสัตว์เลี้ยงที่ได้ $50K/s หรือน้อยกว่าได้ ตัวที่สูงกว่าจะถูกป้องกัน รับทั้ง 50k และ 50000 ใช้ 0 เพื่อปิดตัวกรอง|Ejemplo: 50k permite vender mascotas de $50K/s o menos. Las superiores quedan protegidas. Se aceptan 50k y 50000. Usa 0 para desactivar el filtro.|Exemplo: 50k permite vender pets de $50K/s ou menos. Acima disso ficam protegidos. 50k e 50000 são aceitos. Use 0 para desativar o filtro.|Exemple : 50k permet de vendre les animaux à $50K/s ou moins. Ceux au-dessus sont protégés. 50k et 50000 sont acceptés. Utilisez 0 pour désactiver le filtre.|Beispiel: 50k erlaubt den Verkauf von Begleitern mit $50K/s oder weniger. Höhere Werte sind geschützt. 50k und 50000 werden akzeptiert. 0 deaktiviert den Filter.|Пример: 50k позволяет продавать питомцев с $50K/s или меньше. Более высокие значения защищены. 50k и 50000 поддерживаются. 0 отключает фильтр.
Examples: 50k or 50000 are both accepted. You can also use 1.5m, commas, and decimals. Use 0 to disable the K.G filter.|Halimbawa: parehong tinatanggap ang 50k at 50000. Puwede rin ang 1.5m, commas at decimals. Gamitin ang 0 para i-disable ang K.G filter.|Contoh: 50k dan 50000 sama-sama diterima. Bisa juga memakai 1.5m, koma, dan desimal. Gunakan 0 untuk menonaktifkan filter K.G.|Ví dụ: 50k và 50000 đều hợp lệ. Có thể dùng 1.5m, dấu phẩy và số thập phân. Dùng 0 để tắt bộ lọc K.G.|ตัวอย่าง: รับทั้ง 50k และ 50000 ใช้ 1.5m จุลภาค และทศนิยมได้ ใช้ 0 เพื่อปิดตัวกรอง K.G|Ejemplos: se aceptan 50k y 50000. También puedes usar 1.5m, comas y decimales. Usa 0 para desactivar el filtro K.G.|Exemplos: 50k e 50000 são aceitos. Também pode usar 1.5m, vírgulas e decimais. Use 0 para desativar o filtro K.G.|Exemples : 50k et 50000 sont acceptés. Vous pouvez aussi utiliser 1.5m, des virgules et des décimales. Utilisez 0 pour désactiver le filtre K.G.|Beispiele: 50k und 50000 werden akzeptiert. Auch 1.5m, Kommas und Dezimalwerte sind möglich. 0 deaktiviert den K.G-Filter.|Примеры: поддерживаются 50k и 50000. Также можно использовать 1.5m, запятые и десятичные значения. 0 отключает фильтр K.G.
Feed Targets|Mga Target ng Pagpapakain|Target Pemberian Makan|Mục tiêu cho ăn|เป้าหมายการให้อาหาร|Objetivos de alimentación|Alvos de alimentação|Cibles d’alimentation|Fütterungsziele|Цели кормления
Feed all placed pets or only selected placed pets.|Pakainin ang lahat ng naka-place na pets o ang mga napili lang.|Beri makan semua pet yang dipasang atau hanya pet terpilih.|Cho ăn tất cả thú cưng đã đặt hoặc chỉ những con đã chọn.|ให้อาหารสัตว์เลี้ยงที่วางทั้งหมดหรือเฉพาะตัวที่เลือก|Alimenta todas las mascotas colocadas o solo las seleccionadas.|Alimenta todos os pets colocados ou apenas os selecionados.|Nourrit tous les animaux placés ou seulement ceux sélectionnés.|Füttert alle platzierten Begleiter oder nur ausgewählte.|Кормит всех размещённых питомцев или только выбранных.
Feed and sell pets.|Pakainin at ibenta ang pets.|Beri makan dan jual pet.|Cho ăn và bán thú cưng.|ให้อาหารและขายสัตว์เลี้ยง|Alimenta y vende mascotas.|Alimenta e vende pets.|Nourrir et vendre les animaux.|Begleiter füttern und verkaufen.|Кормить и продавать питомцев.
Filter Mode|Mode ng Filter|Mode Filter|Chế độ lọc|โหมดตัวกรอง|Modo de filtro|Modo de filtro|Mode de filtre|Filtermodus|Режим фильтра
Food|Pagkain|Makanan|Thức ăn|อาหาร|Comida|Comida|Nourriture|Futter|Еда
Food Auto-Buy|Food Auto-Buy|Beli Otomatis Makanan|Tự mua thức ăn|ซื้ออาหารอัตโนมัติ|Compra automática de comida|Compra automática de comida|Achat auto de nourriture|Futter automatisch kaufen|Автопокупка еды
Foods|Mga Pagkain|Makanan|Thức ăn|อาหาร|Comidas|Comidas|Nourritures|Futter|Еда
Garden refreshed|Na-refresh ang garden|Kebun diperbarui|Đã làm mới khu vườn|รีเฟรชสวนแล้ว|Jardín actualizado|Jardim atualizado|Jardin actualisé|Garten aktualisiert|Сад обновлён
Gear Auto-Buy|Gear Auto-Buy|Beli Otomatis Gear|Tự mua trang bị|ซื้ออุปกรณ์อัตโนมัติ|Compra automática de equipo|Compra automática de equipamentos|Achat auto d’équipement|Ausrüstung automatisch kaufen|Автопокупка снаряжения
Gears|Mga Gear|Gear|Trang bị|อุปกรณ์|Equipos|Equipamentos|Équipements|Ausrüstung|Снаряжение
Guide|Gabay|Panduan|Hướng dẫn|คู่มือ|Guía|Guia|Guide|Anleitung|Руководство
Hatch Luck Upgrade|Hatch Luck Upgrade|Upgrade Hatch Luck|Nâng cấp Hatch Luck|อัปเกรด Hatch Luck|Mejora de Hatch Luck|Melhoria de Hatch Luck|Amélioration de Hatch Luck|Hatch-Luck-Upgrade|Улучшение Hatch Luck
Hatch ready owned eggs without movement.|I-hatch ang handa nang sariling itlog nang walang galaw.|Tetaskan telur milik sendiri yang siap tanpa bergerak.|Ấp trứng của bạn đã sẵn sàng mà không di chuyển.|ฟักไข่ของตัวเองที่พร้อมโดยไม่ต้องเคลื่อนที่|Eclosiona huevos propios listos sin movimiento.|Choca ovos próprios prontos sem movimento.|Fait éclore les œufs possédés prêts sans déplacement.|Brütet bereite eigene Eier ohne Bewegung aus.|Вылупляет готовые собственные яйца без движения.
Hatches ready eggs directly without movement.|Direktang hina-hatch ang handa nang itlog nang walang galaw.|Menetaskan telur siap secara langsung tanpa bergerak.|Ấp trực tiếp trứng đã sẵn sàng mà không di chuyển.|ฟักไข่ที่พร้อมโดยตรงโดยไม่ต้องเคลื่อนที่|Eclosiona directamente los huevos listos sin moverse.|Choca diretamente ovos prontos sem movimento.|Fait éclore directement les œufs prêts sans déplacement.|Brütet bereite Eier direkt ohne Bewegung aus.|Напрямую вылупляет готовые яйца без движения.
Highest to Lowest|Pinakamataas hanggang Pinakamababa|Tertinggi ke Terendah|Cao xuống thấp|สูงไปต่ำ|De mayor a menor|Do maior para o menor|Du plus élevé au plus bas|Höchste zu Niedrigste|От большего к меньшему
Highest to Lowest or Lowest to Highest.|Pinakamataas hanggang Pinakamababa o kabaligtaran.|Tertinggi ke Terendah atau Terendah ke Tertinggi.|Cao xuống thấp hoặc thấp lên cao.|สูงไปต่ำหรือต่ำไปสูง|De mayor a menor o de menor a mayor.|Do maior para o menor ou do menor para o maior.|Du plus élevé au plus bas ou inversement.|Höchste zu Niedrigste oder Niedrigste zu Höchste.|От большего к меньшему или наоборот.
Highest to Lowest uses the highest Egg Luck currently in the server.|Ang Highest to Lowest ay gumagamit ng pinakamataas na Egg Luck sa kasalukuyang server.|Highest to Lowest memakai Egg Luck tertinggi yang ada di server saat ini.|Highest to Lowest dùng Egg Luck cao nhất hiện có trên máy chủ.|Highest to Lowest ใช้ Egg Luck ที่สูงที่สุดในเซิร์ฟเวอร์ปัจจุบัน|Highest to Lowest usa el Egg Luck más alto disponible en el servidor actual.|Highest to Lowest usa o maior Egg Luck disponível no servidor atual.|Highest to Lowest utilise le plus grand Egg Luck disponible sur le serveur actuel.|Highest to Lowest nutzt das höchste aktuell auf dem Server vorhandene Egg Luck.|Highest to Lowest использует самый высокий Egg Luck на текущем сервере.
Highlight other players and show name + distance.|I-highlight ang ibang player at ipakita ang pangalan + distansya.|Sorot pemain lain dan tampilkan nama + jarak.|Làm nổi người chơi khác và hiển thị tên + khoảng cách.|ไฮไลต์ผู้เล่นอื่นและแสดงชื่อ + ระยะทาง|Resalta a otros jugadores y muestra nombre + distancia.|Destaca outros jogadores e mostra nome + distância.|Met en surbrillance les autres joueurs et affiche nom + distance.|Hebt andere Spieler hervor und zeigt Name + Entfernung.|Подсвечивает других игроков и показывает имя + расстояние.
Hop Server Now|Lumipat ng Server Ngayon|Pindah Server Sekarang|Đổi máy chủ ngay|ย้ายเซิร์ฟเวอร์ตอนนี้|Cambiar de servidor ahora|Trocar de servidor agora|Changer de serveur maintenant|Server jetzt wechseln|Сменить сервер сейчас
How long you must stay stationary outside your base before the maintenance return. Default: 10 seconds.|Gaano katagal kang hindi gagalaw sa labas ng base bago bumalik para sa maintenance. Default: 10 segundo.|Berapa lama harus diam di luar basis sebelum kembali untuk pemeliharaan. Default: 10 detik.|Thời gian phải đứng yên ngoài căn cứ trước khi quay về bảo trì. Mặc định: 10 giây.|เวลาที่ต้องอยู่นิ่งนอกฐานก่อนกลับมาทำงานบำรุง ค่าเริ่มต้น: 10 วินาที|Tiempo que debes permanecer quieto fuera de la base antes de volver para mantenimiento. Predeterminado: 10 segundos.|Tempo parado fora da base antes de voltar para manutenção. Padrão: 10 segundos.|Durée d’immobilité hors base avant le retour de maintenance. Par défaut : 10 secondes.|Wie lange du außerhalb der Basis stillstehen musst, bevor zur Wartung zurückgekehrt wird. Standard: 10 Sekunden.|Сколько нужно стоять без движения вне базы до возврата для обслуживания. По умолчанию: 10 секунд.
If Auto Feed, Auto Hatch, or Auto Place needs the base and you stay outside while stationary, request one return home. Auto Steal always has priority.|Kung kailangan ng Auto Feed, Auto Hatch o Auto Place ang base at idle ka sa labas, isang beses lang hihiling ng balik sa base. Laging priority ang Auto Steal.|Jika Auto Feed, Auto Hatch, atau Auto Place membutuhkan basis dan kamu diam di luar, minta satu kali kembali ke basis. Auto Steal selalu prioritas.|Nếu Auto Feed, Auto Hatch hoặc Auto Place cần căn cứ và bạn đứng yên bên ngoài, yêu cầu quay về căn cứ một lần. Auto Steal luôn ưu tiên.|หาก Auto Feed, Auto Hatch หรือ Auto Place ต้องใช้ฐานและคุณอยู่นิ่งข้างนอก จะขอกลับฐานหนึ่งครั้ง Auto Steal มีลำดับสูงสุดเสมอ|Si Auto Feed, Auto Hatch o Auto Place necesita la base y permaneces quieto fuera, solicita un único regreso. Auto Steal siempre tiene prioridad.|Se Auto Feed, Auto Hatch ou Auto Place precisar da base e você ficar parado fora, solicita um único retorno. Auto Steal sempre tem prioridade.|Si Auto Feed, Auto Hatch ou Auto Place nécessite la base et que vous restez immobile dehors, un seul retour est demandé. Auto Steal reste prioritaire.|Wenn Auto Feed, Auto Hatch oder Auto Place die Basis braucht und du draußen stillstehst, wird einmal die Rückkehr angefordert. Auto Steal hat immer Priorität.|Если Auto Feed, Auto Hatch или Auto Place требует базу и вы стоите снаружи, запрашивается один возврат домой. Auto Steal всегда имеет приоритет.
Join a different non-full public server. If Auto Steal is currently working, the hop waits until the steal and return are fully finished.|Lumipat sa ibang hindi punong public server. Kung gumagana ang Auto Steal, maghihintay ang hop hanggang matapos ang steal at pagbabalik.|Masuk server publik lain yang belum penuh. Jika Auto Steal sedang bekerja, perpindahan menunggu sampai pencurian dan kembali selesai.|Vào máy chủ công khai khác chưa đầy. Nếu Auto Steal đang chạy, việc đổi máy chủ chờ đến khi trộm và quay về hoàn tất.|เข้าเซิร์ฟเวอร์สาธารณะอื่นที่ยังไม่เต็ม หาก Auto Steal ทำงานอยู่ จะรอจนขโมยและกลับเสร็จทั้งหมด|Entra en otro servidor público no lleno. Si Auto Steal está trabajando, espera hasta terminar el robo y el regreso.|Entra em outro servidor público não cheio. Se o Auto Steal estiver ativo, espera o roubo e o retorno terminarem.|Rejoint un autre serveur public non plein. Si Auto Steal travaille, le changement attend la fin complète du vol et du retour.|Wechselt zu einem anderen nicht vollen öffentlichen Server. Wenn Auto Steal aktiv ist, wartet der Wechsel bis Diebstahl und Rückkehr abgeschlossen sind.|Переходит на другой неполный публичный сервер. Если Auto Steal работает, смена ждёт полного завершения кражи и возврата.
Keep base-only automation reliable without constantly moving the player.|Panatilihing maaasahan ang base-only automation nang hindi palaging ginagalaw ang player.|Menjaga otomatisasi khusus basis tetap andal tanpa terus menggerakkan pemain.|Giữ tự động hóa chỉ ở căn cứ ổn định mà không liên tục di chuyển người chơi.|ทำให้ออโต้ที่ต้องใช้ฐานทำงานเสถียรโดยไม่ขยับผู้เล่นตลอดเวลา|Mantiene fiable la automatización de base sin mover constantemente al jugador.|Mantém confiável a automação da base sem mover o jogador o tempo todo.|Maintient fiable l’automatisation liée à la base sans déplacer constamment le joueur.|Hält basisgebundene Automatisierung zuverlässig, ohne den Spieler ständig zu bewegen.|Поддерживает надёжную работу автоматизации на базе без постоянного перемещения игрока.
